"ait-table-cell","ait-table-cell 2","ait-table-cell 3","ait-local-number","ait-space-item","ait-space-item 2","ait-local-number 2","ait-space-item 3","ait-space-item 4","ait-local-number 3","ait-space-item 5","ait-space-item 6","ait-local-number 4","ait-space-item 7","ait-space-item 8","ait-local-number 5","ait-space-item 9","ait-space-item 10","ait-space-item 11","ait-space-item 12","ait-local-number 6","ait-space-item 15","ait-space-item 16","ait-space-item 19","ait-space-item 20"
"tactical","tactical","Y","35,393.00","较前30日","14.21%","289,295.00","较前30日","10.33%","19.84%","较前30日","-1.73%","0.25%","较前30日","25.00%","25.10","较前30日","-11.74%","","","","","","",""
"tactical gear","tactical gear","Y","21.67%","","","23.58","","","0.36%","较前30日","-1.72%","149,591.00","较前30日","71.43%","19,664.00","较前30日","-7.01%","较前30日","38.89%","","","","",""
"chaleco táctico","Tactical vest","N","37.07%","","","14.16","","","","较前30日","-5.02%","79,134.00","","","16,075.00","较前30日","-5.99%","较前30日","56.43%","0.25%","较前30日","-59.68%","",""
"chest rig","chest rig","N","11,961.00","较前30日","8.28%","68,792.00","较前30日","5.48%","33.02%","较前30日","-0.60%","0.19%","较前30日","11.76%","30.51","较前30日","-11.00%","","","","","","",""
"tactical vest","tactical vest","N","10,712.00","较前30日","1.74%","63,608.00","较前30日","9.86%","38.04%","较前30日","-4.96%","0.24%","较前30日","-29.41%","31.16","较前30日","-0.36%","","","","","","",""
"idogear","idogear","Y","9,649.00","较前30日","11.98%","61,260.00","较前30日","10.14%","34.94%","较前30日","-2.76%","0.47%","较前30日","9.30%","29.00","较前30日","-1.13%","","","","","","",""
"hunting","hunting","Y","8,850.00","","","60,804.00","较前30日","-3.93%","12.90%","较前30日","-15.95%","17.75","较前30日","-2.79%","0.12%","较前30日","-19.29%","较前30日","33.33%","","","","",""
"military","military","Y","9,305.00","较前30日","-10.34%","58,087.00","较前30日","-13.33%","17.04%","较前30日","-4.73%","0.13%","较前30日","-3.13%","13.66","较前30日","-10.44%","","","","","","",""
"hunting accessories","hunting accessories","N","17.32%","较前30日","18.52%","0.32%","","","19.48","较前30日","-4.52%","48,890.00","","","7,457.00","较前30日","-15.61%","较前30日","495.13%","","","","",""
"vest","vest","Y","17,132.00","较前30日","5.55%","44,405.00","较前30日","-11.11%","20.67%","较前30日","-4.30%","0.24%","较前30日","-9.97%","7.11","较前30日","-1.63%","","","","","","",""
"plate carrier","plate carrier","N","7,289.00","较前30日","12.50%","43,621.00","较前30日","-22.73%","36.96%","较前30日","-7.10%","0.18%","较前30日","-7.85%","31.13","较前30日","-15.15%","","","","","","",""
"tactical accessories","tactical accessories","N","21.98%","","","26.80","","","0.45%","较前30日","-1.08%","42,499.00","较前30日","50.00%","5,598.00","较前30日","-18.85%","较前30日","206.40%","","","","",""
"colete tático","Tactical vest","N","27.92%","较前30日","0.04%","0.09%","","","7.19","较前30日","-25.00%","40,924.00","","","8,778.00","较前30日","-18.00%","较前30日","30.08%","","","","",""
"caza","caza","Y","5,248.00","较前30日","15.39%","40,358.00","较前30日","-10.00%","12.51%","较前30日","-22.71%","0.09%","较前30日","-10.52%","13.20","较前30日","-21.73%","","","","","","",""
"molle","molle","Y","5,941.00","较前30日","5.56%","40,083.00","较前30日","-16.15%","21.97%","较前30日","-17.42%","0.57%","较前30日","-10.14%","17.62","较前30日","-20.45%","","","","","","",""
