"ait-table-cell","ait-table-cell 2","ait-table-cell 3","ait-local-number","ait-space-item","ait-space-item 2","ait-local-number 2","ait-space-item 3","ait-space-item 4","ait-local-number 3","ait-space-item 5","ait-space-item 6","ait-local-number 4","ait-space-item 7","ait-space-item 8","ait-local-number 5","ait-space-item 9","ait-space-item 10","ait-space-item 11","ait-space-item 12","ait-space-item 15","ait-space-item 16"
"camping","camping","N","104,538.00","较前30日","3.90%","916,008.00","较前30日","3.19%","20.55%","较前30日","-4.77%","0.19%","较前30日","11.76%","35.50","较前30日","1.39%","","","",""
"fishing","fishing","Y","101,708.00","较前30日","9.35%","756,073.00","较前30日","8.07%","19.82%","较前30日","-7.67%","0.67%","较前30日","1.64%","57.86","较前30日","17.54%","","","",""
"sport","sport","Y","184,779.00","较前30日","2.33%","586,838.00","较前30日","7.69%","12.28%","较前30日","-6.13%","0.14%","较前30日","14.00%","7.25","较前30日","-0.49%","","","",""
"rockbros","rockbros","Y","28.96%","较前30日","21.21%","0.40%","","","33.19","较前30日","-0.07%","567,954.00","","","102,569.00","较前30日","-12.83%","较前30日","36.76%","",""
"캠핑용품 땡처리","camping supplies","N","87,426.00","较前30日","19.67%","27.40%","较前30日","2.93%","0.44%","较前30日","-8.33%","9.07","较前30日","1.27%","559,428.00","","","较前30日","31.06%","",""
"pesca","Fishing","N","63,885.00","较前30日","9.50%","475,506.00","较前30日","11.50%","24.72%","较前30日","-3.58%","0.58%","较前30日","6.92%","33.24","较前30日","11.54%","","","",""
"electric scooter","electric scooter","Y","110,788.00","较前30日","7.79%","474,218.00","较前30日","15.33%","33.60%","较前30日","-0.80%","15.20","较前30日","6.73%","0.19%","","","较前30日","35.71%","",""
"tarot","Tarot","Y","89,693.00","较前30日","4.56%","462,692.00","较前30日","-5.08%","31.66%","较前30日","-6.21%","0.61%","较前30日","-4.69%","6.75","较前30日","-8.85%","","","",""
"adults fun","adults fun","N","192,319.00","较前30日","17.05%","443,662.00","较前30日","9.39%","8.04%","较前30日","-1.95%","0.03%","","","1.04","较前30日","-28.41%","","","较前30日","0.00%"
"golf","golf","Y","84,535.00","较前30日","2.65%","441,808.00","较前30日","-1.98%","15.41%","较前30日","-0.91%","0.18%","较前30日","-5.26%","16.49","较前30日","-9.83%","","","",""
"gym","gym","Y","93,180.00","较前30日","4.70%","433,628.00","较前30日","3.62%","16.92%","较前30日","-6.65%","0.26%","较前30日","-7.14%","17.56","较前30日","-6.28%","","","",""
"electric bike","electric bike","N","89,400.00","较前30日","15.73%","392,727.00","较前30日","28.57%","29.72%","较前30日","-19.78%","0.09%","较前30日","5.35%","16.04","较前30日","-13.37%","","","",""
"electric dirt bike","electric dirt bike","N","136,377.00","较前30日","21.87%","366,534.00","较前30日","23.01%","19.15%","较前30日","-2.32%","3.57","较前30日","2.79%","0.03%","","","较前30日","50.00%","",""
"edc","edc","Y","45,197.00","较前30日","1.20%","365,987.00","较前30日","2.33%","26.07%","较前30日","-0.57%","0.21%","较前30日","16.67%","30.11","较前30日","-3.96%","","","",""
"cycling","cycling","Y","","","","","","","12.92","","","361,671.00","较前30日","-77.53%","151,941.00","","","较前30日","482.57%","",""
"bike","bike","Y","101,466.00","较前30日","23.05%","352,470.00","较前30日","25.03%","21.76%","较前30日","-1.98%","19.00","","","","较前30日","-1.00%","","","",""
"낚시용품 땡처리","fishing supplies","N","63,355.00","较前30日","19.52%","338,158.00","较前30日","20.05%","26.64%","较前30日","-9.58%","0.86%","较前30日","3.22%","14.89","较前30日","17.81%","","","",""
"tactical","tactical","Y","36,439.00","较前30日","14.47%","324,351.00","较前30日","10.59%","22.24%","较前30日","-0.40%","0.28%","较前30日","21.74%","55.50","较前30日","-9.24%","","","",""
"ebike","ebike","Y","323,016.00","较前30日","26.86%","28.51%","较前30日","2.59%","0.07%","较前30日","-12.66%","14.92","较前30日","16.67%","71,482.00","","","较前30日","33.36%","",""
"e bike","e bike","N","30.99%","较前30日","6.71%","0.06%","","","14.95","较前30日","-14.29%","312,745.00","","","69,809.00","较前30日","-13.82%","较前30日","38.01%","",""
"bicycle","bicycle","Y","25.86%","较前30日","1.25%","26.36","较前30日","1.59%","0.04%","","","311,352.00","较前30日","100.00%","82,090.00","","","较前30日","31.73%","",""
"camping equipment","camping equipment","Y","32,641.00","较前30日","13.47%","277,493.00","较前30日","6.97%","23.17%","较前30日","-2.32%","0.24%","","","48.67","较前30日","-6.86%","","","较前30日","0.00%"
